tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
118,California Open,83,Mine Atsuko,136,Mine Tatsuya,12,30,f5f6e6f4g5e7e3g6d6c4f7h5e8f8g8d7c3d3c6g3g4h4f3d2c5c7c2b3d1c1e2c8b1b5a6b4a3b6e1f2g7f1g1a5h6d8a4b7a7b2b8h7h2a8h3h8a2a1h1g2
118,California Open,136,Mine Tatsuya,627,Roberts Bill,41,23,f5f6e6f4g5d6e7g4f3h5e3d3h3f7h4h2f8f2e2g3f1h6g6d8c3d1e1g1g7c5b5c6c7e8h7h8g8d7c4c2c1d2h1a5b4a4a3b6b3a2g2b2b1a6b7a8b8a1a7c8
118,California Open,1390,Lesmana Hendra,83,Mine Atsuko,26,17,f5f6e6f4e3c5c4e7b5e2f3f2g5g4h4d3e1h3h5h6d2c3g6b4f1c1d1g1c2d6f7d7e8g3a5c6c8d8f8b6c7b7h2h1g2h7g7g8h8b1b8b2a1a2a3b3a4a6a7a8
118,California Open,83,Mine Atsuko,1444,Szabo Ingrid,56,51,f5f6e6f4c3c4d3c5d6e3b3b4c6d7a4a2c2c1d2d1f3e2e1g4b1b2f2b5a5g1a1a3b6a7g6g5c7b8d8b7e7f8e8h6h3h5f7g7g8a6a8c8h8h7g2g3f1h1h2h4
118,California Open,83,Mine Atsuko,1445,Rosmis Mik,46,43,f5f6e6f4c3c4d3c5b5e3d6b4c6a5a3f7f2c7d7b6a4a2c8b3f3e8d8e7b7c2a6d2a1g3e2d1c1a8e1b8a7f1b2b1g6h5g5g4g1g2h1h2h3g7h8h7h4h6g8f8
118,California Open,1445,Rosmis Mik,136,Mine Tatsuya,11,16,f5f6c4g5g6f4e6f7h5d6f8g4e3f3e7c5b6d7c6h6h7e8f2g3h2d2d3c7c1e2f1c2b1b5a6e1d1c3d8h4h3g2b3b4a5g7h1g1h8a2a4a1b7a8a7g8b2a3b8c8
118,California Open,1445,Rosmis Mik,449,Prime Tim,23,34,f5d6c5f4f3g4h5c6e3d3g5g6f6e6c4h3h4h6d2g3c7f2d7e2f1d1g1c1c2c3e7b4b5f8b6a5a6f7a4a3e8b3a2d8c8b8g7b7b2e1g2g8a8h8a7h7b1a1h1h2
118,California Open,449,Prime Tim,1390,Lesmana Hendra,37,31,f5d6c5f4f3e3c4d3c6g4e6g6g5f6g3h5f7h4h3e7c2d7c8c3d2e2h6e1c1b4c7d8f1d1f2b3b5a4a6b6b2b8a2h2h1a1b1a3e8f8g7h8g2h7g8g1a8a5a7b7
118,California Open,449,Prime Tim,1408,Johnson Bill,49,40,f5d6c5f4f3e3c4c3e6g4e2d2d3g3d1e7c2e1f6g5h4c1f1g1f2h3h6g6h7h5h2b5b4b1e8f8g8f7d8d7a6a5b3a4c8a7c7g2c6b7b6g7h8b8h1b2a1a2a3a8
118,California Open,136,Mine Tatsuya,1408,Johnson Bill,41,38,f5d6c3f4f6f3d3c4e3e2g4f2d2e6c2b3e7g3g5c1d1f1e1h6h5h4h3h2g2e8c5c6b4a3b5a6b2f7g6h7d7d8c7c8a2a1b1h1g1a4a5b6b7a8a7f8g8b8g7h8
118,California Open,1444,Szabo Ingrid,1390,Lesmana Hendra,6,2,f5d6c3d3c6f4f3e3f6e6c7c4c5d7c8e7f8b4a4b5a5a6a7b6f2e2d1e1d2c1f7b3a3c2b2a1b1f1b7a2g1h1g2g3h4h3h2g4h5g5g6h6g7h8h7g8a8b8d8e8
118,California Open,1444,Szabo Ingrid,136,Mine Tatsuya,13,18,f5d6c3d3c6f4f3e3f6e6c2c4c5d2c1e2f1b5a5b4a4d1e1b6d7a3a2b3f2a6a7c7c8e8e7f7g8b7a8f8d8g5h6h5g4h4g3h3g2h7g6b8h2h8g7h1g1b1b2a1
