tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
2,Championnat de France,84,Mascort Jean-Manuel,17,Ralle Paul,24,32,f5f4e3d2e2f6d3c4f3e1f1g1e6c5c1d6g4h3h5c2c3g3g5f2g6b3f7h4h2h7e7d7c8f8e8g8a4d8h8h6g7h1b2d1b4c6b5c7b8b1g2a5a6a1a2a3b6a7b7a8
2,Championnat de France,246,Laligand Jean-Phili,17,Ralle Paul,27,31,f5f4e3d2e2f6e6d6c4f3g3c3c5d3c1f2e1b6c2f1c6b5a6d1a4b1g5b3c7g4g2g6b4d7a3c8e7d8f7e8h3h5h6g7h4h1h7h2f8a5g1b2b7a8a7b8a1a2h8g8
2,Championnat de France,65,Bracchi Andre,17,Ralle Paul,22,23,f5f4e3f6d3c5e6f3d6c4b3c7d7b4g5d2c3c6d1e7a5g6f7h4b5e2b6g3e8f8e1a6f2d8c8a4h3a3h5b8h6g4a7a8b7a2g7h7b2b1a1c1c2h2h8g8h1g1g2f1
2,Championnat de France,343,Larroque Denis,727,Collery Renaud,33,44,f5d6c3d3c4f3f4b5b4g6c5e6e3g4f6c6d7c7e7c8f7f8a5a3b6a6a4f2e2e1f1g1g5d1d2g3h3c1d8e8h6b8b7h4h5a8a7b2b3c2g7h8g8h7a1g2h1h2b1a2
2,Championnat de France,770,Aguillon Francois,883,Fournier Patrick,45,39,f5d6c3d3c4f4c5b5e3e6c6f6d7d2e7e2b4c7c2b3a3c1a4a6a5a2d1c8d8e8b8a8b1e1f1f3f2b7b6g2g1b2a1a7h1g4g5g3g6h2h3f7g8h6h5f8g7h4h7h8
2,Championnat de France,17,Ralle Paul,1,Tastet Marc,50,47,f5d6c3d3c4f4f6g5e6c5f3b5b4e3g4f7g6f2a6a5c2e2g3a3e7d2c7e8d7h3b3c6a4c1a2c8f8h4d8h5b8h7h6g8h8g7b2b7h2g2d1f1h1b1a1e1g1a7a8b6
2,Championnat de France,127,Decoeyere Eric,882,Voelklin Jeannot,47,47,f5d6c3d3c4b5e3c2b4c5b3a3e6f4g5g4f3d2c1e1a4a5f6e2f2e7c7c6h3h6f1g1g3c8f7f8d7h5b1a2h4g2g6g7d8e8b2a1d1h2h1h7b6a6h8g8b7b8a8a7
2,Championnat de France,770,Aguillon Francois,683,Endignoux Lionel,42,40,f5d6c3f4f6f3e3g5e6d7g4e7f7g6h6h4c8d8c4h3f2g3e8f8c7c5b6e1f1e2d1d3c6a6b5a5a4a3h5b4g8b7h2d2b8g2b3c2
2,Championnat de France,821,Tige Christophe,35,Thill Olivier,16,10,f5d6c4d3c5f4e3d2f3c3e6b6b5f6e2c6b4a4a5a6d1a3c2b3e7f7g5f8d8g6c7h5h4h3h7e8g8f2d7b8f1g4g3c1b1h2a2a1b2e1g2g1a7h1c8h8b7g7h6a8
2,Championnat de France,500,Rongier Daniel,36,Daunas Bernard,32,17,f5d6c4d3e6f4e3f3g4g3f2f6c5c3h4g5h6e2d1e1f1h5d2c2b4b6b5a3c1c6a5a6a7b2b3a4a1a8f7e7e8d8c8f8g8h3h2g6h7b1g2h1g1h8g7b8b7c7d7a2
2,Championnat de France,500,Rongier Daniel,469,Flament Daniel,25,34,f5d6c4d3e6f4e3b4c5c6b5a6d2f3d7c2c3e1b3a4b6c7a5d8e7f8f6f2e2d1c8g5f7b8h5e8g6g8g3g4f1h3c1h4h2h6h7g2a3a2h1a7b2a1b1g1g7b7a8h8
2,Championnat de France,65,Bracchi Andre,884,Mancarz Daniel,54,53,f5d6c4f4c5d3e6b6b5a6b3g6c3c6d7e3b4e8c7d8a4a5f6d2a3e7f7g5f8g8a7b2a2b7a1c2h5h4a8b8c8g7h8b1c1d1e1e2f1f2g2g1h1h2h3g4h6h7f3g3
2,Championnat de France,525,Martin Alix,884,Mancarz Daniel,38,29,f5d6c4f4e6d3c5b6b5f6e3c3d2b3c6f2b4a5a4a3a7c7e2d7c8d1c2c1f3e1g1g4h4h3h2g5g3e7h5d8e8f8g8f7g6h6h7g2g7b1b7a8a6b8h1h8f1b2a1a2
2,Championnat de France,500,Rongier Daniel,232,Torcia Didier,27,24,f5d6c4f4f6f3e6e7f7c5d3g6e8g5g4e3h4h6c3b4f2e2d1f1d2c2c6d7c8c7b3d8a4h3h2g3b6a6b5e1f8c1a7a3b8a8a2g8b7a5b1a1b2g2h1g1h5h7g7h8
2,Championnat de France,436,Fontayne Jean,282,Prost Serge,55,50,f5d6c4g5c6c5b6b5d7e7f6f4g6c3e6e3d3g4a4c8f8c7e8f7f2c2h6h4f3d2b4b3a3a5d8a2b8f1a7e2h5g7g8h7h8b7g3h2h3h1g2g1e1d1a8a6a1c1b2b1
2,Championnat de France,287,Aleaume Didier,343,Larroque Denis,16,22,f5d6c4g5f6f4f3e3c6d3g4g6e6c5e2b4b3c3h5d2h6a3c1e1d1f1b6g3g1d7c8b5a5a4a2e7d8f8f7a7c7e8g8h4h3b2f2c2b1a1h1a6b7h2g2h7g7h8b8a8
2,Championnat de France,821,Tige Christophe,65,Bracchi Andre,7,22,f5d6c4g5f6f4g6e3e6f7e2c5d7e7b5d8e8d3c3d2c8b6c7c6b4h6d1a5f2a3a6b3g3c2c1f3g4f8h4e1f1h5h7h2h3h8g8g7b2b8a4a7b7a8a1a2b1g2g1
2,Championnat de France,436,Fontayne Jean,822,Schmouker Olivier,35,44,f5d6c4g5g6d3e6f4e3c5c6f3d2e7f7d7e2e1f1g1f6f8f2h6g3g4h4c3c1c2c8h2b3a3b4a4b5a6e8b6c7d8g8b7h5h3b8h7a8a7a5b2b1a1d1a2h1g2h8g7
2,Championnat de France,246,Laligand Jean-Phili,882,Voelklin Jeannot,49,40,f5d6c5b4b5f6e6f4g5c6c4g6d3d7f3e3g4c2e2e1f1b3c3d2f2h3h5h6c7a6a5a4d8b6g3e7e8f7f8h4d1c1b1g7a3b2g1b8c8b7a1g2a8a2a7h8g8h7h2h1
2,Championnat de France,247,Draper Bruno,65,Bracchi Andre,8,33,f5d6c5f4d3f6e6d7f7b5c4e3c6e7g5c7c8d8g6g4c3f8f2d2h3e8b6h5a5f3e1c1d1f1e2c2g3h4h6b8g2h1g1h2g8h8b7a7b4a8a6g7b1h7b3a1a2a4a3b2
2,Championnat de France,822,Schmouker Olivier,287,Aleaume Didier,15,35,f5d6c5f4e3d3e6g5c4d7c3b5a6f3b6e2f2f1g3g4e1h3g1c2d2c1h4h5c6b3c7a5e8f6e7c8d8f8g6h6a4h2f7h7b4d1b1g8a3b8b7a8a7a2g7h8g2b2h1a1
2,Championnat de France,7,Juhem Philippe,770,Aguillon Francois,45,50,f5d6c5f4e3c4e6c6d7f3d3g5f6c7b4d8e7e8f7b5a6a3b6a4a5b3c3f8a2e2f1d1f2d2g6c2c8b8h4h6e1g1c1b1g7g8h8h7h5g4g3h2b7a7a8b2h3g2h1a1
2,Championnat de France,84,Mascort Jean-Manuel,232,Torcia Didier,54,55,f5d6c5f4e3c6d3e2f2g5e1c3e6c2c4b5b3b4f6d2h4e7d1c1b1h6a5a3a6g1g3h2c7f7f3c8b6a4a2a7a8b2h5g6a1g2h7g4b7g7h1f1h3b8h8g8f8d8e8d7
2,Championnat de France,7,Juhem Philippe,525,Martin Alix,51,29,f5d6c5f4e3c6d3f3g4g5f6h5g3e6h6h7g6f7e7d7e8f8g8h4c4b5h3h2a5f2e2d1f1d2c3e1c1b6d8c8b8c7b4a6b3a4a3a2g7g2h1c2h8g1b2b1a1b7a7a8
2,Championnat de France,19,Piau Didier,683,Endignoux Lionel,48,43,f5d6c5f4e3c6d3f3e6c4c3f2e2c2g5g3g4h4h5h6g6f7h3h2g7f6f1d2b3d1e1g1b1a4d7b4b5d8e8c7c8e7b6a5a6a7g8f8a3a2h8h7h1b2g2b7c1b8a1a8
2,Championnat de France,14,Lazard Emmanuel,469,Flament Daniel,27,45,f5d6c5f4e3c6d3f3e6b5c4g5f6d7e7g6f7e8c8f8g4c7h5h3d8b8h4h6g3h2b4f2e2d1e1d2c1b6c3a3f1c2g7h8b3g2g8h7a8a2a5a7a4b7a6b2a1b1h1g1
2,Championnat de France,822,Schmouker Olivier,525,Martin Alix,41,32,f5d6c5f4e3c6d3f3e6f7g4g3g5f6e2h5h6h4h3b5g6c3f8d2e7f1d1f2e1c1c4e8d8b4c2g1b3a3d7c7a6a5b2g2h1h2b1a1a2g7g8h8h7c8b8a8b6a4b7a7
2,Championnat de France,282,Prost Serge,770,Aguillon Francois,38,42,f5d6c5f4e3c6d3f3e6f7g4c4e7f8d7g5f6g6c7d8h6c8e8c2d2h3h4g3h5h7b3f2e2a4c3b4c1e1d1b1b6b5g1a5a6b7a7a8b8g7h8g8h2g2a2a3h1a1f1b2
2,Championnat de France,17,Ralle Paul,343,Larroque Denis,55,48,f5d6c5f4e3c6d3b5e6f7f3g4g5g3h4e2f6c3e1h5h3d2h6g6f2c4e7g7c1d1c2b3d7e8h7g1f1c7d8f8h8g2g8h2h1c8b8b7b2b1a1a2a3a4a7a8a5a6b6b4
2,Championnat de France,14,Lazard Emmanuel,343,Larroque Denis,30,30,f5d6c5f4e3c6d3g5f6b5g6c4c3e6e7f3h5f2e2f7e8c2g4h3g3f1d7h6d1d8c8c7d2f8g8h2h7g2b4e1h1h4g1c1b3b6g7a5b2h8b1b8a6a1a2a3a4a7b7
2,Championnat de France,7,Juhem Philippe,1,Tastet Marc,21,23,f5d6c5f4e3c6d3f6e6d7g3c4b4c3d2f3b5e2g4g5b6h4c7f2e1c1c2b3d8f1a4d1f7f8g6h5h6e7e8c8g7h8g8h7b7a8b8a7h3b1a6b2g1h1a2a5a3a1g2h2
2,Championnat de France,19,Piau Didier,127,Decoeyere Eric,51,49,f5d6c5f4e3c6d3f6e6d7g3c4g5c3b4g4g6h6b5e2c7f3c2d2f1e1d1h3d8c8b8a5e8e7a6a3b6b3f8h4f2b1g2a7a4c1a1a2h2h1g1b7a8b2f7g8h5h7h8g7
2,Championnat de France,35,Thill Olivier,65,Bracchi Andre,29,34,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2b4e2b5b3c7g6f3h5f2h3c1d1f1e1c2e8a3b2d8a2g2g4a1b1g1h1e7c8b6a4a5f8b7a8b8a7a6g7h7h6h4h2g8h8
2,Championnat de France,35,Thill Olivier,127,Decoeyere Eric,37,37,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8g4g3e2f2b8e8f8h5b5d1f1d2e1g1f7b4a3b6a5c2b3c3h4h3b1g5b2a6a4a1c1b7h1a2g6g7a8a7h2g2g8h7h6h8
2,Championnat de France,14,Lazard Emmanuel,35,Thill Olivier,48,40,f5d6c5f4e3c6d3f6e6d7e7c7c4b5d8f8e8f3b4c8f7g6a5e2b6d2g5c3c2a3g4c1f1d1f2h3h4h6h5g3a4a6e1g1b3a2b2g7h8h7g8a1b1h1h2g2b8b7a7a8
2,Championnat de France,30,Puget Jean-Francois,1,Tastet Marc,12,26,f5d6c5f4e3c6d3f6e6d7e7c7b6f3c4b5g5h5g4h4h3g3h6b3c8d8e8f2b8c2h2a6e2g7a4g6b4f7c3e1d2d1a3a5c1a2f1b2h7h8g8h1a1b1a7g1f8g2a8b7
2,Championnat de France,14,Lazard Emmanuel,36,Daunas Bernard,28,31,f5d6c5f4e3c6f3c3d3c4b4d2e2b3d1a3a4a5f6g4b6b5a6c2g5e6e7f7h4g3c1f1a2h3c7f8d7c8e8h5h6h7g6d8g7f2e1b1h2h1g1g2a1b8b7h8g8b2a8a7
2,Championnat de France,883,Fournier Patrick,282,Prost Serge,40,21,f5d6c5f4e3c6g5d3c3c4e6f3g3g4d7d2f2e2h3h4d1f1b4b5h5b6e1c1b3a5a3a4c7c8c2g1b2d8a6e7f6h6h7f7g6g2f8b7e8g8a8a7b8b1h8g7a1a2h1h2
2,Championnat de France,232,Torcia Didier,727,Collery Renaud,32,47,f5d6c5f4e3c6e6f3d3c4c3f2d7f7e2c7f6e8d8c8b6b5f8e1a5g5g4e7d2d1b4a3c2c1g3h5h4h3g6a6a7g8h6h7a4b7b3b2a2g7g1f1h2h1g2a1b1a8b8h8
2,Championnat de France,683,Endignoux Lionel,282,Prost Serge,17,9,f5d6c5f4f3e3e7c6c4e6f6d3f7b5e2b6a5a6a7b4d7d8c8b8c7e8c2f8c3a3b3a2b2g5g7g8h5g3h2a1f2a4b7a8d2h8h7h6g6h4g4b1c1h3g2h1g1f1e1d1
2,Championnat de France,727,Collery Renaud,65,Bracchi Andre,18,16,f5d6c5f4d7g5d3c3b3b5b4b6f6e6g3c4e7g4a6a4e3f3a5a7c6f2e2c7c8f7h3h5f1a3f8g6h4h2h7a2b7g2h1h6g7h8b2g8g1a8b8d8e8a1d2c1e1d1b1c2
2,Championnat de France,883,Fournier Patrick,727,Collery Renaud,28,34,f5d6c5f4d7g5f3e3g3e6d2g4d3e2h4c7f7f6h6h3g6c8f1f8f2h5h2c2e7c4c6g7c3d1e1c1b1g2d8e8b7b8h8h7h1g1g8a8a7a6b6a5b5b3a1b4a4b2a3a2
2,Championnat de France,727,Collery Renaud,287,Aleaume Didier,22,24,f5d6c5f4d7f6d3c4c3c6b5d8e6e7e3c7c8b8f8f7g8b6a7a5b4f2g5h6h4h5g3h3d2g4e1c1e2g1c2b1f3h2b7g6f1d1g2a3a4b2b3a2a1h1a6a8h7h8g7e8
2,Championnat de France,683,Endignoux Lionel,727,Collery Renaud,22,29,f5d6c5f4e7c6e3d7e6d3c4f3d8b6c3b5d2c7b3f8f7b4f6g5e2c8a4e8a5g6h6g4a6e1h5d1f1g1h4f2g3h2g8h8b7b8h3h7g7c2b1g2h1c1b2a2a1a3a8a7
2,Championnat de France,404,Freyss Alain,770,Aguillon Francois,13,16,f5d6c6f4e6f6f3c5d3e3c4c3g6e7f8d7f7e8c7d8c8h6h5h4g3g5g4e2f1h3f2d2d1c1c2b4a3b3a4a5a6b5b6h7h2h1g7h8g8b8b7g2b1g1e1a1b2a2a7a8
2,Championnat de France,404,Freyss Alain,683,Endignoux Lionel,45,24,f5d6c6f4e6c7c8e7f6d7c4c5c3f7e3f3d8d3f2b6b5d2a6b3d1f1a3a5a4e2e1c1c2b4f8e8g6b7a8a7b8g4h3h5h6h7g3g5h4h2b2b1g2h1g1g8h8a2a1g7
2,Championnat de France,404,Freyss Alain,500,Rongier Daniel,32,19,f5f6d3e3f7c4c3c5c6b4a3d6e6b5a6d7c8f4e7c7f2b6g5a5a4e8f3d8f8b3c2g6h6d2c1e2f1g4h4h5b8g3h3g7a7b2a1b1a2h7h8g8a8b7g2h2d1e1g1h1
2,Championnat de France,822,Schmouker Olivier,19,Piau Didier,21,23,f5f6e6f4c3d6f3e3d3c6g4g3g5f2e2h6h3c4f1d2e1h4h5h2g6h7f7c1e7d7c2b3b5c5a3a4b4b6a5f8a6e8d8c8c7b8g2d1g7b7a8a7g8h8b1h1g1a1a2b2
2,Championnat de France,30,Puget Jean-Francois,19,Piau Didier,40,46,f5f6e6f4c3d6f3e3g4g5e7c4g3h4h3h2e2f2f1c5f7e1d1d2h6e8d3g2b4b2b3a4a1a2h1g1h5c2a3g8d7g6b1c1h7c8f8c7d8c6a5g7h8b8b7a7a8a6b5b6
2,Championnat de France,65,Bracchi Andre,408,Lehn David,26,36,f5f6e6f4c3d7f3d6g5g4e3g6c7c5c6e7c4b6d8e8f8f7b5g3g8b8g7e2h6d3a6b4c2c1a3a5h5b7b3h8c8a4h7h4f2f1g2d2a2a1e1d1h3g1b1a7h1h2a8b2
2,Championnat de France,30,Puget Jean-Francois,36,Daunas Bernard,36,38,f5f6e6f4c3d7f3d6g5g4g6e3e7c6f2d3c2f1c4e2c5c7h3e8d2g3f8h4e1h5h6b4f7c1b5a4b3d1a6a5a3b6a7b7b1a1a8b8h2g8d8c8g2h1h8h7g7a2g1b2
2,Championnat de France,36,Daunas Bernard,288,Baillet Vincent,31,21,f5f6e6f4c3e7f3e3d3c5g4h3c6g3h4h5d6g5c4f2f8d8f7d7g6c7h6h7g1f1e1e2c8e8g2d2d1c2b3h1h2g7h8g8c1a3a4a5b2b1a1a2b4b6b7a8b8b5a7a6
2,Championnat de France,882,Voelklin Jeannot,404,Freyss Alain,47,44,f5f6e6f4d3c6e3f3d6c5c4d2b5c2c7c3g6a6a4b6b4c8g3h3c1e1d7d8e7e2b3a3e8f8g5a5f7g4h4h6h5b7b1d1f1f2a8a7g1g2b8h7g8g7a2b2a1h8h2h1
2,Championnat de France,525,Martin Alix,404,Freyss Alain,51,55,f5f6e6f4e3d3c5f3d2c1e2c2c4c6d1e1d6c7e7e8b6a6d7c8d8b3c3b5a4a5a7b4f8g8f7g6a3b7f1f2b1b2a2a1g1g2h2h1g3h3g4g5h5h4h6h7a8b8h8g7
2,Championnat de France,232,Torcia Didier,469,Flament Daniel,45,42,f5f6e6f4e3c5c4d6e7d7f7d8e8f8b5c3g5b3c6c7c8b8d3a5c2g4h4g3g6h3a6a7g7a4a3a2b4c1d2f2f3d1f1e2e1g1b2h5h7h8h6a1b1h1h2g2b6b7a8g8
2,Championnat de France,525,Martin Alix,500,Rongier Daniel,38,43,f5f6e6f4e3c5c4e7g4f3g3d3e2h4c6f2h3h2f1d2c2d1g5c3d6c1e1g1d7g6e8c8f7b4h7d8h5f8a4b3a3a5a6b5b6c7b7a7a8b8g8h6h1g2b1a2a1b2g7h8
2,Championnat de France,288,Baillet Vincent,436,Fontayne Jean,47,47,f5f6e6f4e3c5c4e7g4g3g6h3f7f8g5d7d6f3h4c7e2d2d3c2c8d8c3c6e1c1f2h5d1b4e8f1b3b5g8h2h6h7b8a4b6a7g2b2a1a3b1g1a2b7h1g7h8a8a5a6
2,Championnat de France,408,Lehn David,30,Puget Jean-Francois,23,23,f5f6e6f4e3c5c4e7g4g3d7g5e8e2b5d6f3f2g6f8h5h4f1h6d1c3c7d3c2c6f7b3b6c1d2d8b4e1b1c8g7g2a3b7a7b8h1h2g1g8h3a4a6a5h7a8h8a2b2
2,Championnat de France,408,Lehn David,288,Baillet Vincent,39,30,f5f6e6f4e3c5c4e7g4g3d7d6f3h3g5h4b5f2g6c6c7c8d3e2f1d1e8d8b8c2f8c3f7e1c1b3a4a3d2b4a5a6b6a7h5h6g7h7b2g2h1g1h2a2b7a1b1h8g8a8
2,Championnat de France,525,Martin Alix,35,Thill Olivier,17,19,f5f6e6f4e3c5c4e7b5e2f2d2f3g4e1d1c3c2c1f1f7b1e8f8g8d7c6c8c7d3h4g3g6h6g5d6h5h3h2h1g1g2a1h7g7b8b7h8b3b4b6d8b2a4a3a8a6a7a5a2
2,Championnat de France,19,Piau Didier,288,Baillet Vincent,54,40,f5f6e6f4e3c5c4e7b5e2f2d2f3g4g5d6h3f1d7h6h5c6d3h4h7c8c7b6e8f7b4a5a4f8d8g6c3a3b3a6c2d1g7b7a8g8h8b8b2b1g3h2a7h1a2a1c1e1g2g1
2,Championnat de France,282,Prost Serge,500,Rongier Daniel,22,30,f5f6e6f4e3c5c4e7b5e2g5g6f3d3g4h4h6h3h5h7f2d2d7c3e1d6c6b3c1d8c8f7e8f8g8a5c7b6a7b4c2a6a4g3g7b7a8b8g2h8h2h1g1f1d1b2b1a1a3a2
2,Championnat de France,343,Larroque Denis,19,Piau Didier,8,12,f5f6e6f4e3c5c4e7g5g4f7g6b5d6h6f3h5c6d3h4f2h7b7a5b6d7b4a8d8c7g7e8g8g3c8b8g2h3a7h2f8a6a3b3a2b2a4c3a1b1h8c2c1d1d2e2e1f1g1h1
2,Championnat de France,232,Torcia Didier,14,Lazard Emmanuel,26,32,f5f6e6f4e3c5c4e7c6e2f3f2g5g4g6d6h3d3f7h4h5d7e8c8g3g8c7b3b4h6h7b8c2d2a4g2c1c3b5d1e1g1f1b1b7g7h8a5a6a8b6f8d8a7b2a1a3a2h2h1
2,Championnat de France,282,Prost Serge,14,Lazard Emmanuel,28,34,f5f6e6f4e3c5c4e7f7d7g4g3g6h3g5f3d6c6d3c7h4h5h6h7f2f1g1e1e8h1d8c8b8g8h2g2h8f8e2b3g7a8a2c3d2d1b7b5a5a7b4a6c2b6c1b1a1b2a3a4
2,Championnat de France,884,Mancarz Daniel,436,Fontayne Jean,33,31,f5f6e6f4e3c5c6d3c3e2f1e7f7d7b5b6c4c2f2f3d2d1e8c1g4g3e1f8g5d8d6b3b4c8a3h3h5a5a4a6a7b2h4h6g6g7
2,Championnat de France,469,Flament Daniel,84,Mascort Jean-Manuel,47,35,f5f6e6f4e3c5c6d6e7f3b5b6c7a5c4e8d3d8c8d7f8f7g8b4c3f2a3e2b3a4d2c1d1e1c2b7g3g4h4g5h5h3g6h6g7b1g1a2b8g2f1h1a8a7a6h7h8h2a1b2
2,Championnat de France,469,Flament Daniel,247,Draper Bruno,29,25,f5f6e6f4e3c5c6d7d3b5e7d6f7c4c8f2b3b4a5b6c7c3a4a3a2e8c2c1g6f8g5d8g8g4e2h6d1e1d2b7h5a6h7a1h4b1b2f3g3h2a8b8a7h8h3g2f1h1g7g1
2,Championnat de France,436,Fontayne Jean,247,Draper Bruno,28,40,f5f6e6f4e3c5c6e7d3c3c4d2c2d6g5g4f2f3d7g6e8c7h3f1h4h6h5f8d1f7c8d8h7c1e1b5e2b4g8g2g3g1b6b3a3a4a5a7a6a2h1h2b1h8g7b8b2a1b7a8
